   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
   4257    1100       4      10 |    5361      14 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
    310       0       0       0 |     310       0 | Go interface method
      0     497       0       0 |     497       0 | Go reflect data
     66       0       0       0 |      66       0 | device/esp
     13       0       0       0 |      13       0 | errors
   1423       0       0      24 |    1423      24 | github.com/bxparks/AceButtonGo/button
    598       0       0       0 |     598       0 | github.com/bxparks/AceSegmentGo/tm1637
    827      18     128       0 |     973     128 | github.com/bxparks/AceSegmentGo/writer
   6266     149       8       0 |    6423       8 | github.com/bxparks/acetimego/acetime
    466       0       0       0 |     466       0 | github.com/bxparks/acetimego/ds3231
    207       0       0       0 |     207       0 | github.com/bxparks/acetimego/internal/strbuild
      0    8989       0       0 |    8989       0 | github.com/bxparks/acetimego/zonedb
    163       0       0       0 |     163       0 | github.com/bxparks/acetimego/zoneinfo
     57       0       0       0 |      57       0 | internal/bytealg
    133       2       0       0 |     135       0 | internal/itoa
    357      24       0       8 |     381       8 | internal/task
    601       0       0       0 |     601       0 | machine
   2644     153    5276     168 |    8073    5444 | main
   2623     622       0       0 |    3245       0 | reflect
   3735     209       0      66 |    3944      66 | runtime
     78       0       0       0 |      78       0 | runtime/interrupt
    141       0       0       0 |     141       0 | runtime/volatile
    508     108       0       0 |     616       0 | strings
    142      38       0       0 |     180       0 | sync
     23       6       0       0 |      29       0 | syscall
  12027     587      64      76 |   12678     140 | time
   1020      32       8       0 |    1060       8 | tinygo.org/x/drivers/i2csoft
------------------------------- | --------------- | -------
  38685   12534    5488    4448 |   56707    9936 | total
