   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
   1830     239       0      14 |    2069      14 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
     35       0       0       0 |      35       0 | Go interface method
     66       0       0       0 |      66       0 | device/esp
   5469      24       0       0 |    5493       0 | github.com/bxparks/AceTimeGo/acetime
      0    9400       0       0 |    9400       0 | github.com/bxparks/AceTimeGo/zonedb
    182       0       0       0 |     182       0 | github.com/bxparks/AceTimeGo/zoneinfo
    982       0       0       0 |     982       0 | gitlab.com/bxparks/coding/tinygo/button
    302       0       0       0 |     302       0 | gitlab.com/bxparks/coding/tinygo/ds3231
    266      18       0       0 |     284       0 | gitlab.com/bxparks/coding/tinygo/segwriter
    473       0       0       0 |     473       0 | gitlab.com/bxparks/coding/tinygo/tm1637
     60       0       0       0 |      60       0 | internal/bytealg
    331      24       0       8 |     355       8 | internal/task
    601       0       0       0 |     601       0 | machine
   1379      82    2088       8 |    3549    2096 | main
   2241     128       0      58 |    2369      58 | runtime
     55       0       0       0 |      55       0 | runtime/interrupt
    141       0       0       0 |     141       0 | runtime/volatile
    352     108       0       0 |     460       0 | strings
    195       0       0       0 |     195       0 | time
    984      32       8       0 |    1024       8 | tinygo.org/x/drivers/i2csoft
------------------------------- | --------------- | -------
  15944   10055    2096    4184 |   28095    6280 | total
